172.18.0.7 - - [01/Mar/2026:07:25:09 +0000] "GET / HTTP/1.0" 200 75055 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-US) WindowsPowerShell/5.1.26100.7705" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /polyfills.js HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /vendor.js HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /runtime.js HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /main.js HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /styles.css HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /assets/i18n/en.json HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /3002/socket.io/?EIO=4&transport=polling&t=PoeIzLk HTTP/1.0" 200 8965 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /rest/admin/application-configuration HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /rest/admin/application-version HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
172.18.0.7 - admin [01/Mar/2026:07:27:47 +0000] "GET /rest/admin/application-configuration HTTP/1.0" 304 0 "http://localhost/3002" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 OPR/127.0.0.0" "172.18.0.1"
